@relation oa-importance

@attribute class {general,important}
@attribute from_code string
@attribute from_agency string
@attribute name string
@attribute wenzhong numeric
@attribute wenhao numeric
@attribute date1 date yyyy-MM-dd
@attribute date2 date yyyy-MM-dd
@attribute to_1 string
@attribute to_2 string
@attribute date0_day date yyyy-MM-dd
@attribute date0_time date HH:mm

@data
general,教学厅〔2018〕13号,教育部办公厅,教育部办公厅关于做好2019年普通高等学校部分特殊类型招生工作的通知,1,1,?,?,招生办公室,?,2019-01-02,14:44
important,国开办发[2018]51号,国务院扶贫办,关于2018年脱贫攻坚成效考核有关事项的通知,1,2,?,2019-01-04,扶贫办,?,2019-01-02,17:14
general,?,王宽诚教育基金会,感谢信,4,4,?,?,交大基金会,?,2019-01-02,17:49
general,陕卫疾控发[2018]137号,陕西省卫生健康委员会,关于进一步加强流行性出血热防治工作的通知,0,3,?,?,后勤保障部,?,2019-01-02,11:44
general,?,教育部思政司,关于思政司领导班子专题民主生活会征求意见的函,0,5,?,2019-01-16,宣传部,马克思主义学院,2019-01-02,18:19
general,教港澳台[2018]528号,教育部港澳台事务办公室,关于你校2019年港澳与内地大中小学师生交流计划项目的批示,1,3,?,?,国际处,?,2019-01-02,18:01
general,教高司函〔2018〕60号,教育部高教司,教育部高等教育司关于反馈“基础学科拔尖学生培养计划”实施十年专家评价意见的通知,1,1428,?,?,教务处,钱学森学（书）院,2018-12-29,11:17
general,?,教育部思政司,教育部思想政治工作司关于“高校网络教育名师培育支持计划”遴选结果的公示,1,1438,?,?,人力资源部,?,2018-12-29,19:20
general,?,陕西省委办公厅,陕西工作交流第50期（壮大“三个经济”全面开放融合推动新时代追赶超越建设“三市”高质量发展）,2,99,?,?,校长办公室,?,2018-12-29,14:32
general,?,中共天水市委员会办公室,天水市委来校考察函,4,1323,?,?,校长办公室,创新港办公室,2018-12-29,14:26
general,教发厅函[2018]216号,教育部办公厅,教育部办公厅关于立即开展实验室安全检查的紧急通知,1,1432,?,?,实验室与资产管理处,?,2018-12-29,17:11
important,教党[2018]73号,教育部党组,中共教育部党组关于认真学习贯彻习近平总书记在庆祝改革开放40周年大会上重要讲话精神的通知,0,832,?,?,宣传部,?,2018-12-29,11:29
important,教人司[2018]461号,教育部人事司,关于推荐2019年中国科学院院士特别推荐候选人提名人选的通知,1,1427,?,2019-01-07,人力资源部,科研院,2018-12-29,11:09
general,?,教育部办公厅,教育部简报第59-66期,2,96,?,?,校长办公室,?,2018-12-29,11:22
general,陕发[2018]23号,陕西省委,中共陕西省委陕西省人民政府关于推动民营经济高质量发展的若干意见,0,834,?,?,?,?,2018-12-29,15:24
important,教技[2018]15号,教育部,教育部关于印发《高等学校乡村振兴科技创新行动计划（2018—2022年）》的通知,1,1434,?,?,科研院,?,2018-12-29,17:35
general,陕教工稳办[2018]1号,省委教育工委,关于近期校园安全管理的预警通知,0,837,?,?,保卫处,?,2018-12-29,18:00
general,陕教[2018]399,陕西省教育厅,关于表彰2018年陕西高等学校教学管理工作先进集体和先进个人的通报,1,1436,?,?,教师教学发展中心,?,2018-12-29,18:05
general,教育部简报[2018]第67期,教育部办公厅,教育部简报2018年第67期：南京航空航天大学精准推进思想政治工作着力培养堪当复兴大任的时代新人,2,100,?,?,宣传部,?,2018-12-29,19:17
general,陕办字[2018]112号,陕西省委办公厅,中共陕西省委办公厅陕西省人民政府办公厅关于表彰陕西省优秀民营企业和民营企业家的决定,0,835,?,?,?,?,2018-12-29,15:28
general,?,中国（陕西）自由贸易试验区工作办公室,中国（陕西）自由贸易试验区工作办公室关于采纳西安交通大学知识产权研究院研究成果的告知函,4,1322,?,?,社科处,法学院,2018-12-29,11:47
important,[2018]—25,中央办公厅,中共中央办公厅国务院办公厅转发《中央农办、农业农村部、国家发展改革委关于深入学习浙江”千村示范、万村整治“工程经验扎实推进农村人居环境整治工作的报告》的通知,0,833,?,?,校长办公室,?,2018-12-29,11:58
general,教政法厅函〔2018〕66号,教育部办公厅,教育部办公厅关于征求对《教育部2019年工作要点(征求意见稿)》意见的通知,1,1437,?,2019-01-04,校长办公室,?,2018-12-29,19:13
general,?,陕西省委办公厅,陕西工作交流第51期（双建双带双提升党建引领助脱贫）,2,97,?,?,扶贫办,?,2018-12-29,11:40
general,教高函〔2018〕18号,教育部,教育部关于增列中国人民大学、中山大学对口支援新疆大学的通知,1,1426,?,?,校长办公室,?,2018-12-28,15:42
general,?,陕西省委办公厅,陕西工作交流第52期（实施就业扶贫“五个到户到人”举措实现贫困劳动力稳定就业全覆盖）,2,95,?,?,扶贫办,?,2018-12-28,17:17
general,陕发[2018]21号,陕西省委,中共陕西省委陕西省人民政府关于印发《陕西省中长期青年发展规划（2018-2025年）》的通知,0,831,?,?,人力资源部,?,2018-12-28,17:13
general,?,华南理工大学,华南理工大学关于赴西安交通大学调研考察的函,4,1317,?,2019-01-11,校长办公室,?,2018-12-27,10:47
general,教高函〔2018〕17号,教育部国家卫生健康委,教育部国家卫生健康委关于公布首批国家临床教学培训示范中心认定结果的通知,1,1423,?,?,医学部,?,2018-12-27,17:42
important,教人司[2018]458号,教育部人事司,关于做好2019年领导干部报告个人有关事项工作的通知,1,1418,?,?,组织部,?,2018-12-27,16:59
general,中办发电[2018]45号,中央办公厅,中共中央办公厅国务院办公厅关于做好2019年元旦春节期间有关工作的通知,0,830,?,?,校长办公室,?,2018-12-27,17:48
general,教师[2018]21号,教育部,教育部关于批准2018年国家级教学成果奖获奖项目的决定,1,1422,?,?,教务处,?,2018-12-27,17:18
general,教党函[2018]117号,教育部党组,中共教育部党组关于征求对部党组及党组成员意见建议的通知,0,829,?,2019-01-14,校长办公室,?,2018-12-27,17:30
